rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/success_rate,train/learning_rate,train/loss,train/n_updates
108.29,0.05,660135,5056,-651.6136721199999,2113,312,0.0,0.0001,0.010274099186062813,152533
107.89,0.05,660564,5060,-651.0471032800001,2115,312,0.0,0.0001,0.0128373634070158,152640
107.52,0.05,661005,5064,-650.94600939,2116,312,0.0,0.0001,0.01907137967646122,152751
107.02,0.05,661430,5068,-650.4750724,2118,312,0.0,0.0001,0.01642822101712227,152857
107.73,0.05,661864,5072,-651.3129727200001,2119,312,0.0,0.0001,0.6746402382850647,152965
107.55,0.05,662287,5076,-651.2189896100001,2121,312,0.0,0.0001,0.014681299217045307,153071
107.3,0.05,662698,5080,-650.96762367,2122,312,0.0,0.0001,0.01473708264529705,153174
107.51,0.05,663134,5084,-651.2179001,2124,312,0.0,0.0001,0.05416954308748245,153283
108.32,0.05,663632,5088,-651.95282028,2125,312,0.0,0.0001,0.004419563338160515,153407
107.57,0.05,664013,5092,-651.1901559500001,2127,312,0.0,0.0001,14.183746337890625,153503
108.01,0.05,664467,5096,-651.59007291,2128,312,0.0,0.0001,0.007317868061363697,153616
108.05,0.05,664911,5100,-651.61749072,2130,312,0.0,0.0001,0.007882233709096909,153727
107.58,0.05,665348,5104,-651.07469966,2131,312,0.0,0.0001,0.015024605207145214,153836
108.38,0.05,665831,5108,-651.79179707,2133,312,0.0,0.0001,0.0485171303153038,153957
108.87,0.05,666284,5112,-652.29174795,2134,312,0.0,0.0001,0.010399340651929379,154070
109.04,0.05,666759,5116,-652.37790445,2136,312,0.0,0.0001,0.011432746425271034,154189
108.49,0.05,667156,5120,-651.77542785,2137,312,0.0,0.0001,0.052140478044748306,154288
108.22,0.05,667605,5124,-651.5230795200001,2139,312,0.0,0.0001,0.04404861852526665,154401
108.54,0.05,668005,5128,-651.80535995,2140,312,0.0,0.0001,0.0074817584827542305,154501
107.75,0.05,668402,5132,-651.0350012800001,2142,311,0.0,0.0001,0.05511845648288727,154600
107.83,0.05,668841,5136,-651.2493405900001,2143,311,0.0,0.0001,0.04517582058906555,154710
108.47,0.05,669278,5140,-651.8130350600001,2145,311,0.0,0.0001,14.276987075805664,154819
109.53,0.05,669808,5144,-652.70724016,2147,311,0.0,0.0001,0.00888630747795105,154951
110.35,0.05,670332,5148,-653.41959496,2149,311,0.0,0.0001,0.017193179577589035,155082
110.86,0.05,670765,5152,-653.91549771,2150,311,0.0,0.0001,2.05015230178833,155191
110.84,0.05,671219,5156,-653.8591667700001,2152,311,0.0,0.0001,0.015851149335503578,155304
110.87,0.05,671651,5160,-654.03426317,2153,311,0.0,0.0001,0.004737948998808861,155412
111.47,0.05,672152,5164,-654.44057573,2155,311,0.0,0.0001,0.011965246871113777,155537
111.56,0.05,672586,5168,-654.47519844,2157,311,0.0,0.0001,0.047617144882678986,155646
111.87,0.05,673051,5172,-654.66939525,2158,311,0.0,0.0001,14.254008293151855,155762
